relative_second,timestamp_utc,target_units,allocated_units,ready_units,pending_actions,allocated_vcpu,allocated_memory_gib,scale_direction,collector_error
0.0005399349993240321,2026-09-02T17:40:08.073111+00:00,1,1,1,False,2.0,2.0,,
5.001581876000273,2026-09-02T17:40:12.981468+00:00,1,1,1,False,2.0,2.0,,
10.00175232500078,2026-09-02T17:40:17.910874+00:00,1,1,1,False,2.0,2.0,,
15.00203234699984,2026-09-02T17:40:22.850922+00:00,1,1,1,False,2.0,2.0,,
20.002791287000946,2026-09-02T17:40:27.852428+00:00,1,1,1,False,2.0,2.0,,
25.00343821199931,2026-09-02T17:40:32.982577+00:00,1,1,1,False,2.0,2.0,,
30.00459785199928,2026-09-02T17:40:37.901454+00:00,1,1,1,False,2.0,2.0,,
35.005858851000085,2026-09-02T17:40:42.962731+00:00,1,1,1,False,2.0,2.0,,
40.00703255600092,2026-09-02T17:40:48.033145+00:00,1,1,1,False,2.0,2.0,,
45.00797836399943,2026-09-02T17:40:53.100347+00:00,1,1,1,False,2.0,2.0,,
50.009198551000736,2026-09-02T17:40:57.876018+00:00,1,1,1,False,2.0,2.0,,
55.0103565520003,2026-09-02T17:41:03.159851+00:00,1,1,1,False,2.0,2.0,,
60.01089551299992,2026-09-02T17:41:08.092530+00:00,1,1,1,False,2.0,2.0,,
65.01134920600089,2026-09-02T17:41:13.392900+00:00,1,1,1,False,2.0,2.0,,
70.03640955599985,2026-09-02T17:41:18.251242+00:00,1,1,1,False,2.0,2.0,,
75.03650761099925,2026-09-02T17:41:23.258547+00:00,1,1,1,False,2.0,2.0,,
80.03740739900059,2026-09-02T17:41:28.069659+00:00,1,1,1,False,2.0,2.0,,
85.03813841800002,2026-09-02T17:41:33.199225+00:00,1,1,1,False,2.0,2.0,,
90.03922719399998,2026-09-02T17:41:38.104411+00:00,1,1,1,False,2.0,2.0,,
95.03958387300008,2026-09-02T17:41:43.160808+00:00,1,1,1,False,2.0,2.0,,
100.03985533299965,2026-09-02T17:41:47.999700+00:00,1,1,1,False,2.0,2.0,,
105.04044585299926,2026-09-02T17:41:53.170002+00:00,1,1,1,False,2.0,2.0,,
110.04069492099916,2026-09-02T17:41:58.154529+00:00,1,1,1,False,2.0,2.0,,
115.04096572299932,2026-09-02T17:42:03.273150+00:00,1,1,1,False,2.0,2.0,,
120.04251325900077,2026-09-02T17:42:08.389686+00:00,1,1,1,False,2.0,2.0,,
125.04385676899983,2026-09-02T17:42:13.255696+00:00,1,1,1,False,2.0,2.0,,
130.04608310299955,2026-09-02T17:42:18.830859+00:00,1,1,1,False,2.0,2.0,,
135.04637281100077,2026-09-02T17:42:23.358589+00:00,1,1,1,False,2.0,2.0,,
140.04695314700075,2026-09-02T17:42:28.381950+00:00,1,1,1,False,2.0,2.0,,
145.0477097740004,2026-09-02T17:42:33.831619+00:00,1,1,1,False,2.0,2.0,,
