second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
0,base,83,83,83,0,0.0,46.28129699995043,47.4309016008192,47.92052467946633,46.12520125308684,1.0352463736126083
1,base,80,80,80,0,0.0,46.039238500270585,47.39799195058367,48.52247232021907,45.981793312466834,1.1607866002123046
2,base,81,81,81,0,0.0,45.83809200084943,47.5103360004141,47.84829060045013,45.916598432176,1.1074520625697915
3,base,82,82,80,2,0.024390243902439025,45.928735499728646,70.91142264853261,106.01401287069166,49.12329402435628,1.1783266506427028
4,base,78,78,78,0,0.0,45.85120000047027,47.6284284999565,47.89177013963126,46.01451176931266,1.15400843505995
5,base,77,77,77,0,0.0,46.336781000718474,48.011480999412015,49.079592519265134,46.32493687011022,1.1929575171961917
6,base,81,81,81,0,0.0,45.895455999925616,47.61934899943299,47.836557600749074,45.93099743221871,1.156294381871703
7,base,78,78,78,0,0.0,46.02488850014197,47.38996079950084,47.89185396974062,46.04291593591953,1.1379510328879407
8,base,79,79,79,0,0.0,46.20907999924384,47.59472709920374,47.77840830091009,46.11215851900276,1.1488776652186061
9,base,82,82,82,0,0.0,46.04912099966896,47.363333401062846,47.74069241942925,45.98677439012468,1.1647452524812252
10,base,82,82,82,0,0.0,45.72428649953508,47.273954200682056,48.201876770144736,45.839739585306496,1.161380835947057
11,base,78,78,78,0,0.0,45.94441750032274,47.35269514949323,48.509075350320934,45.99145441037623,1.1280350132437889
12,base,77,77,76,1,0.012987012987012988,45.90594399996917,47.69086040068942,47.98239876028674,45.63972567541293,1.1433693918661447
13,base,78,78,76,2,0.02564102564102564,46.18599750028807,76.94003489923493,309.63102934904254,60.481980076987476,1.158346929423715
14,base,82,82,82,0,0.0,45.779524999488785,47.818585948789405,48.41083523100678,45.86475254896735,1.150356611924508
15,base,77,77,76,1,0.012987012987012988,46.34856499978923,48.75270280099358,66.69511672058422,46.663819233799586,1.181755403376883
16,base,78,78,78,0,0.0,46.21189949921245,47.2911162994933,47.76123494011699,46.127413717864,1.1091636961282347
17,base,77,77,76,1,0.012987012987012988,45.80661700128985,47.46701620024396,47.86769207988982,45.62158976612456,1.1621025849308353
18,base,78,78,78,0,0.0,45.93286850013101,47.38730649905847,47.75221635023627,46.01209482053748,1.1451834665422211
19,base,80,80,80,0,0.0,46.19858100068086,47.70839420016273,47.99270559982688,46.132318000081796,1.097226350520941
20,base,78,78,78,0,0.0,46.16784900008497,47.79138404992409,50.62702825007364,46.20008265383382,1.1551065204912447
21,base,79,79,79,0,0.0,45.89626000051794,47.516824699960125,47.781362839341455,45.87581073417224,1.1016414186087786
22,base,81,81,81,0,0.0,45.9858649992384,47.204083999531576,48.52978359922419,46.07277287659936,1.1348274929332547
23,base,81,81,78,3,0.037037037037037035,46.57457199937198,113.90008099988336,1085.3440135986602,78.0179054319753,1.1410231236368418
24,base,79,79,79,0,0.0,46.195823000743985,48.00032270068186,48.31064813963167,46.27880150630655,1.1486524370411642
25,base,82,82,82,0,0.0,46.286117500130786,48.15650220070893,49.131109720146924,46.334864378079104,1.1418059637435363
26,base,80,80,80,0,0.0,46.18722599934699,47.295707849752944,47.555429171079595,46.00904803753565,1.1823020005977014
27,base,82,82,82,0,0.0,45.98412849918532,47.40000410020002,47.93994954952723,46.00082951215083,1.0967596822410997
28,base,78,78,77,1,0.01282051282051282,45.958565000546514,47.560457299096015,47.73251443997651,45.685934128251134,1.162012806526036
29,base,79,79,79,0,0.0,46.03945700000622,47.66654809900501,48.228677620063536,46.11114836718369,1.147062167547119
